title,type,select1,select2,select3,select4,answer,img,level,date,recommenddate,update,description,solveddate,tag
다음 이미지 코드의 역할을 설명해주세요.,객관식,프로젝트의 루트 경로를 동적으로 저장하여 재사용하기 위해,서버의 절대 경로를 저장하기 위해,데이터베이스 연결 경로를 저장하기 위해,사용자 홈 디렉토리를 저장하기 위해,프로젝트의 루트 경로를 동적으로 저장하여 재사용하기 위해,/images/id-n8fcz3gc4.png,0,2025-10-02,2025-10-02,2025-10-02,"http://localhost:8080/ssafy/index.jsp
→ contextPath = ""/ssafy""",,JSTL
다음 이미지의 빨간 빈칸에 들어갈 태그 및 속성은?,주관식,jstl,core,c,tag,"taglib, prefix, uri",/images/id-1f5p5jw8h.png,0,2025-10-02,2025-10-02,2025-10-02,"<%@ taglib prefix=""c"" uri=""jakarta.tags.core""%>",,JSTL
"EL에서 ${변수명}처럼 scope를 명시하지 않았을 때, 자동으로 검색하는 순서를 좁은 범위부터 순서대로 나열하세요.",주관식,,,,,"page scope, request scope, session scope, application scope",/images/id-8swr6fphd.png,0,2025-10-02,2025-10-02,2025-10-02,"page scope → request scope → session scope → application scope 또는
pageScope → requestScope → sessionScope → applicationScope",,EL
다음 Servlet 코드가 있습니다. JSP에서 ${price}를 출력하면 결과는?,객관식,null,에러 발생,"빈 문자열 ("""")",15000,15000,/images/id-4u8afird2.png,0,2025-10-02,2025-10-02,2025-10-02,"EL에서 속성 값을 탐색할 때, 현재 scope에 해당 속성이 존재하지 않거나 null인 경우 자동으로 다음 우선순위의 scope로 이동하여 값을 검색합니다.",,EL
JDBC 프로그래밍의 기본 단계 중 가장 먼저 수행해야 하는 작업은 무엇인가?,객관식,A. SQL 실행,B. Connection 생성,C. JDBC Driver 로딩,D. Statement 생성,C. JDBC Driver 로딩,,0,2025-10-02,2025-10-02,2025-10-02,"✅ 정답: C
💡 해설: JDBC 프로그래밍은 먼저 JDBC 드라이버를 로딩해야 DB 연결 객체를 생성할 수 있다. (JDBC 4.0 이후는 자동 로딩 지원)",,JDBC
PreparedStatement를 이용한 SQL 작성 예시 중 올바른 것은?,객관식,"A. 
PreparedStatement pstmt = conn.prepareStatement(
    insert into dept values(?, ?, ?)
);","B.
PreparedStatement pstmt = conn.prepareStatement(
    ""insert into dept values(?, ?, ?)""
);","C.
PreparedStatement pstmt = conn.prepareStatement(
    'insert into dept values(?, ?, ?)'
);","D.
PreparedStatement pstmt = conn.prepareStatement(
    insert into dept values(50, '개발팀', '광주')
);","B.
PreparedStatement pstmt = conn.prepareStatement(
    ""insert into dept values(?, ?, ?)""
);",,0,2025-10-02,2025-10-02,2025-10-02,"✅ 정답: B
💡 해설: SQL 구문은 반드시 문자열("""")로 감싸야 하며, ? 바인딩을 지원한다.",,JDBC
다음 JSP 내장 객체 중 클라이언트에게 응답 데이터를 보내기 전에 서버 내부에서 '다른 페이지로 이동'하도록 지시할 때 사용하는 기능(리다이렉트 또는 콘텐츠 타입 설정 등)을 제공하는 객체는 무엇입니까?,객관식,out,request,exception,response,response,,0,2025-10-02,2025-10-02,2025-10-02,"response 객체는 클라이언트에게 보낼 응답을 생성할 때 사용되며, 리다이렉트 명령(sendRedirect)이나 콘텐츠 타입 설정 등을 담당합니다.",,Servlet & jsp
"JSP 페이지에서 EL(Expression Language)을 사용하여 쿠키에 저장된 'username' 값을 가져오고자 할 때, 올바른 문법은 무엇입니까?",객관식,${cookie.username.value},${param.username},${request.getAttribute('username')},${sessionScope.username},${cookie.username.value},,0,2025-10-02,2025-10-02,2025-10-02,쿠키의 저장된 값은 'cookie.쿠키명.value' 형식으로 접근하여 가져옵니다. 'cookie'는 EL의 내장 객체입니다.,,Servlet & jsp
다음 JSP 스크립팅 요소에 대한 설명 중 올바른 것은 무엇입니까?,객관식,JSP 주석 태그(<%-- ... --%>)는 클라이언트(브라우저)에게 전송되어 소스 보기로 확인 가능하다.,정의어 태그(<%! ... %>)에 선언된 변수는 JSP 페이지가 변환된 서블릿의 인스턴스 멤버 변수가 되어 모든 요청 스레드에 공유된다.,스크립트릿 태그(<% ... %>) 내부에 선언된 변수는 웹 애플리케이션이 종료될 때까지 값이 유지되는 세션(Session) 스코프를 가진다.,"표현식 태그(<%= ... %>) 내부에 'request.getParameter(""id"");'와 같이 세미콜론(;)을 사용하여 구문을 마쳐야 한다.",정의어 태그(<%! ... %>)에 선언된 변수는 JSP 페이지가 변환된 서블릿의 인스턴스 멤버 변수가 되어 모든 요청 스레드에 공유된다.,,0,2025-10-02,2025-10-02,2025-10-02,"정의어 태그는 서블릿 클래스의 멤버 변수/메서드 영역에 선언되므로 인스턴스 변수가 되며, 이는 여러 스레드가 공유하여 스레드 안전성 문제가 발생할 수 있습니다.",,Servlet & jsp
"JSP에서 `if`, `for`, `while` 등의 자바 제어문을 사용하거나, 단순히 서버 측에서 실행될 자바 코드(값을 출력하지 않는)를 작성할 때 사용하는 스크립팅 요소는 무엇입니까?",객관식,"<% ... %> ","
<%= ... %>","
<%! ... %>",<%-- ... --%>,"<% ... %> ",,0,2025-10-02,2025-10-02,2025-10-02,"스크립트릿은 JSP의 주요 자바 코드 블록이며, 자바의 제어문이나 로직을 구현하는 데 사용됩니다.",,Servlet & jsp
"JSP 내장 객체 중 웹 애플리케이션의 시작부터 종료까지 서버 내에서 영구적으로 유지되며, 모든 사용자가 공유하는 애플리케이션 전역 정보를 저장하는 객체는 무엇입니까?",객관식,request,application,page,session,application,,0,2025-10-02,2025-10-02,2025-10-02,"application 객체는 ServletContext에 매핑되며, 애플리케이션 전역 스코프를 가집니다.",,Servlet & jsp
특정 경로에 대한 모든 요청이 서블릿에 도달하기 전에 공통적인 인증 및 인코딩 작업을 수행해야 합니다. 이 요구사항을 가장 효율적이고 구조적으로 처리할 수 있도록 도와주는 서블릿 기술 요소는 무엇입니까?,객관식,HttpServletResponse,지시어 <%@ page %>,Servlet Filter,Listener,Servlet Filter,,0,2025-10-02,2025-10-02,2025-10-02,"필터는 요청(Request)과 응답(Response)이 서블릿에 도달하거나 서블릿을 떠나기 전에 가로채어 공통적인 전/후처리(로깅, 인코딩, 인증 등)를 수행하도록 설계되었습니다.",,Servlet & jsp
"클라이언트가 /old-page로 요청했을 때, 서버 내부에서 RequestDispatcher.forward(""/new-page"", request, response)를 사용하여 페이지를 이동시키는 방식에 대한 설명으로 옳은 것은 무엇입니까?",객관식,"클라이언트의 주소창은 /old-page로 유지되며, /new-page의 응답 결과를 클라이언트에게 대신 전달한다.",클라이언트에게는 HTTP 상태 코드 302(Found)와 함께 /new-page로의 재요청 명령이 전달된다.,"
클라이언트의 웹 브라우저 주소창은 /new-page로 변경되지만, 요청 객체는 유지되지 않는다.",페이지 이동 시 /old-page에서 request.setAttribute()로 저장했던 요청(Request) 데이터는 모두 소멸되어 /new-page에서 접근할 수 없다.,"클라이언트의 주소창은 /old-page로 유지되며, /new-page의 응답 결과를 클라이언트에게 대신 전달한다.",,0,2025-10-02,2025-10-02,2025-10-02,"Forward는 서버 내부에서 요청과 응답 객체를 유지한 채 제어를 넘기며, 클라이언트는 이 과정을 알지 못합니다.",,Servlet & jsp
"JSP의 9가지 내장 객체 중, 해당 JSP 페이지가 에러 처리 페이지로 설정되었을 때(isErrorPage=""true"")만 유효하게 사용할 수 있는 객체는 무엇입니까?",객관식,exception,application,pageContext,config,exception,/images/id-xu24q6y8i.png,0,2025-10-02,2025-10-02,2025-10-02,"에러 페이지로 설정된 경우, 발생한 예외 객체를 `java.lang.Throwable` 타입으로 접근할 수 있도록 제공하는 객체입니다.",,Servlet & jsp
"서블릿 필터(Filter)의 doFilter() 메서드 내에서 chain.doFilter(request, response) 호출을 생략했을 때 발생하는 결과는 무엇입니까?",객관식,"필터 체인의 나머지 필터는 실행되지만, 최종 대상 서블릿/JSP는 실행되지 않습니다.",자동으로 HTTP 상태 코드 404 (Not Found) 응답이 반환됩니다.,다음 필터 또는 최종 대상 서블릿/JSP로 요청이 전달되지 않고 필터에서 응답 처리가 종료됩니다.,JVM의 스택 오버플로우 오류가 발생하여 서버가 다운됩니다.,다음 필터 또는 최종 대상 서블릿/JSP로 요청이 전달되지 않고 필터에서 응답 처리가 종료됩니다.,/images/id-k2t8q7bmc.png,0,2025-10-02,2025-10-02,2025-10-02,"`chain.doFilter()` 호출을 생략하면 현재 필터에서 요청 처리가 멈추게 되고, 필터가 직접 응답을 보내거나 응답 처리를 종료해야 합니다.",,Servlet & jsp
"다음과 같이 web.xml에 서블릿 매핑이 정의되어 있을 때(이미지를 통해 매핑 확인가능), URL /data/member/info 요청을 처리하는 서블릿은 무엇입니까? ",객관식,ServletB,ServletA,요청 처리를 위한 서블릿을 찾을 수 없습니다.,ServletC,ServletC,/images/id-nz10h8444.png,0,2025-10-02,2025-10-02,2025-10-02,서블릿 매핑 규칙에서 가장 높은 우선순위는 **정확한 경로 매핑**입니다. `/app/mypage.do`는 가장 정확하게 일치하는 패턴입니다.,,Servlet & jsp
"서블릿 컨테이너가 서블릿의 service() 메서드를 호출할 때, 각 요청마다 새로운 HttpServletRequest 객체를 생성하는 주된 이유와 가장 거리가 먼 것은 무엇입니까?",객관식,service() 메서드의 응답 결과를 즉시 클라이언트에게 반환하기 위해.,요청별로 필요한 속성(Attribute)을 독립적으로 저장 및 전달하기 위해.,각 요청에 대한 클라이언트의 입력 데이터를 격리하기 위해.,요청 정보에 대한 스레드 안전성(Thread Safety)을 보장하기 위해.,service() 메서드의 응답 결과를 즉시 클라이언트에게 반환하기 위해.,,0,2025-10-02,2025-10-02,2025-10-02,"응답을 반환하는 것은 `HttpServletResponse` 객체와 컨테이너의 역할이며, 요청 객체와 직접적인 관련이 없습니다. 응답의 즉각적인 반환은 멀티스레딩 구조가 아닌 요청 객체와는 무관합니다.",,Servlet & jsp
다음 중 데이터 정의 언어(DDL)에 속하지 않는 명령어는?,객관식,CREATE,ALTER,UPDATE,DROP,UPDATE,,0,2025-10-02,2025-10-02,2025-10-02,"UPDATE는 테이블 내의 데이터를 수정하는 DML(데이터 조작어)이며, 테이블의 구조를 정의하는 DDL이 아닙니다.",,SQL
NULL 값에 대한 설명으로 가장 올바르지 않은 것은?,객관식,0이나 공백('')과는 다른 '알 수 없는 값'이다.,IS NULL 연산자로만 비교할 수 있다.,산술 연산에서 100 + NULL의 결과는 100이다.,"IFNULL(컬럼, 0)은 컬럼이 NULL일 때 0을 반환한다.",산술 연산에서 100 + NULL의 결과는 100이다.,,0,2025-10-02,2025-10-02,2025-10-02,NULL과의 모든 산술 연산 결과는 NULL이 됩니다. 따라서 100 + NULL의 결과는 100이 아닌 NULL입니다.,,SQL
'SQL'과 'Study'라는 두 문자열을 'SQL Study'로 합치기 위해 가장 적합한 함수는?,객관식,SUBSTRING(),REPLACE(),CONCAT(),TRIM(),CONCAT(),,0,2025-10-02,2025-10-02,2025-10-02,CONCAT() 함수는 둘 이상의 문자열을 하나의 문자열로 결합하는 역할을 합니다.,,SQL
두 날짜 사이의 일(day) 수 차이를 계산하는 함수는 무엇인가요?,객관식,TIMEDIFF(),TIMESTAMPDIFF(),DATE_ADD(),DATEDIFF(),DATEDIFF(),,0,2025-10-02,2025-10-02,2025-10-02,"DATEDIFF(날짜1, 날짜2)는 두 날짜 간의 일 수 차이를 정수로 반환합니다.",,SQL
DDL과 DML의 근본적인 차이점을 한 문장으로 설명하세요.,주관식,,,,,"DDL은 데이터베이스의 구조(스키마)를 정의하고, DML은 그 구조 안에 저장된 실제 데이터를 조작(관리)합니다.",,0,2025-10-02,2025-10-02,2025-10-02,"DDL(CREATE, ALTER, DROP)은 테이블 같은 뼈대를 다루고, DML(SELECT, INSERT, UPDATE, DELETE)은 그 뼈대 안의 내용을 다룹니다.",,SQL
ORDER BY 절의 기본 정렬 순서와 내림차순 정렬 키워드를 각각 작성하세요.,주관식,,,,,"기본 정렬: 오름차순(ASC), 내림차순 키워드: DESC",,0,2025-10-02,2025-10-02,2025-10-02,"ORDER BY는 기본적으로 ASC(오름차순)으로 동작하며, DESC 키워드를 명시하여 내림차순으로 정렬할 수 있습니다.",,SQL
데이터의 타입을 다른 타입으로 명시적으로 변환할 때 사용하는 함수를 2가지 작성하세요.,주관식,,,,,CAST()와 CONVERT(),,0,2025-10-02,2025-10-02,2025-10-02,CAST와 CONVERT는 문자열을 숫자나 날짜로 바꾸거나 그 반대의 경우처럼 데이터의 타입을 명시적으로 변경할 때 사용되는 표준 함수입니다.,,SQL
수정된 데이터를 데이터베이스에 영구적으로 반영(저장)하는 TCL 명령어는?,객관식,COMMIT,ROLLBACK,SAVEPOINT,GRANT,COMMIT,,0,2025-10-02,2025-10-02,2025-10-02,COMMIT은 트랜잭션 내에서 수행된 모든 변경사항을 데이터베이스에 영구적으로 저장하는 명령어입니다.,,SQL
"현재 날짜만 반환하며, 시간 정보는 포함하지 않는 함수는?",객관식,NOW(),SYSDATE(),CURRENT_TIMESTAMP(),CURDATE(),CURDATE(),,0,2025-10-02,2025-10-02,2025-10-02,CURDATE() 또는 CURRENT_DATE()는 YYYY-MM-DD 형식으로 현재 '날짜'만 반환합니다.,,SQL
CASE 표현식에 대한 설명으로 올바르지 않은 것은?,객관식,SQL 문 내에서 조건부 로직을 구현한다.,ELSE 절을 생략하고 만족하는 조건이 없으면 NULL을 반환한다.,ELSE 절을 생략하고 만족하는 조건이 없으면 0을 반환한다.,"SELECT, WHERE, ORDER BY 절 등에서 사용할 수 있다.",ELSE 절을 생략하고 만족하는 조건이 없으면 0을 반환한다.,,0,2025-10-02,2025-10-02,2025-10-02,"CASE 표현식에서 일치하는 WHEN 조건이 없고 ELSE 절도 생략된 경우, 결과는 0이 아닌 NULL이 반환됩니다.",,SQL
문자열에서 양쪽 끝의 공백을 제거하는 함수는 무엇인가요?,객관식,LTRIM(),RTRIM(),TRIM(),REPLACE(),TRIM(),,0,2025-10-02,2025-10-02,2025-10-02,"TRIM() 함수는 문자열의 시작과 끝에 있는 공백(또는 지정된 문자)을 제거합니다. LTRIM은 왼쪽, RTRIM은 오른쪽 공백만 제거합니다.",,SQL
LIKE 연산자에서 사용되는 와일드카드 '%'와 '_'의 차이점을 설명하세요.,주관식,,,,,"'%'는 0개 이상의 모든 문자를 의미하고, '_'는 정확히 1개의 문자를 의미합니다.",,0,2025-10-02,2025-10-02,2025-10-02,"예를 들어, '김%'는 '김'으로 시작하는 모든 문자열(김, 김철수 등)을 찾지만, '김__'는 '김'으로 시작하는 정확히 세 글자인 문자열(김대한 등)만 찾습니다.",,SQL
IF() 함수와 IFNULL() 함수의 가장 큰 차이점을 조건 평가 방식과 관련하여 설명하세요.,주관식,,,,,"IF()는 첫 번째 인자의 논리식(참/거짓)을 평가하고, IFNULL()은 첫 번째 인자의 NULL 여부만을 평가합니다.",,0,2025-10-02,2025-10-02,2025-10-02,"IF(조건식, 참일때, 거짓일때)는 조건식의 결과에 따라 값을 반환하는 반면, IFNULL(표현식, NULL일때)은 표현식이 NULL인지 아닌지에 따라 값을 반환하는 용도로 특화되어 있습니다.",,SQL
관계형 데이터베이스에서 '관계(Relationship)'는 주로 어떤 요소를 통해 테이블 간에 구현되나요?,주관식,,,,,외래 키 (Foreign Key),,0,2025-10-02,2025-10-02,2025-10-02,외래 키는 한 테이블의 컬럼이 다른 테이블의 기본 키(Primary Key)를 참조하여 두 테이블 간의 관계를 설정하는 핵심적인 역할을 합니다.,,SQL
"아래 쿼리 실행 시, 첫 번째 행에 반환될 직원의 이름(emp_name)은 무엇인가요? (쿼리: SELECT emp_name, salary FROM employees WHERE salary > 2000 ORDER BY salary DESC;)",주관식,,,,,King,/images/id-fwjv0sq52.png,0,2025-10-02,2025-10-02,2025-10-02,"WHERE salary > 2000 조건으로 King(5000), Scott(3000)이 조회되고, ORDER BY salary DESC에 의해 salary가 높은 순으로 정렬되어 King이 첫 번째 행에 위치합니다.",,SQL
"아래 쿼리 실행 시, 'Adams' 직원의 adjusted_salary 컬럼에 표시될 값은 무엇인가요? (쿼리: SELECT emp_name, IFNULL(salary, 2500) AS adjusted_salary FROM employees WHERE emp_name = 'Adams';)",주관식,,,,,2500,/images/id-f2n24eusr.png,0,2025-10-02,2025-10-02,2025-10-02,"Adams의 salary는 NULL이므로, IFNULL 함수에 의해 두 번째 인자인 2500이 adjusted_salary 컬럼의 값으로 반환됩니다.",,SQL
"아래 쿼리 실행 시, formatted_date 컬럼에 표시될 값은 어떤 형식인가요? (쿼리: SELECT DATE_FORMAT('2023-03-20', '%y년 %m월 %d일') AS formatted_date;)",주관식,,,,,23년 03월 20일,/images/id-f786znnvr.png,0,2025-10-02,2025-10-02,2025-10-02,"DATE_FORMAT 함수와 '%y', '%m', '%d' 형식 지정자에 의해 '2023-03-20' 날짜가 '23년 03월 20일' 문자열로 변환됩니다.",,SQL
"아래 쿼리 실행 시, 'King'과 'Smith' 직원의 salary_grade 컬럼에 각각 어떤 값이 들어갈지 쉼표로 구분하여 순서대로 작성하세요. (쿼리: SELECT emp_name, CASE WHEN salary >= 5000 THEN 'High' WHEN salary >= 2000 THEN 'Middle' ELSE 'Entry' END AS salary_grade FROM employees;)",주관식,,,,,"High, Entry",/images/id-rwp4cgw27.png,0,2025-10-02,2025-10-02,2025-10-02,"King의 salary(5000)는 '>= 5000' 조건을 만족하여 'High'가 되고, Smith의 salary(1800)는 앞의 두 조건을 만족하지 못해 ELSE 절의 'Entry'가 됩니다.",,SQL
